net,length_um
io_out[0],3985.8
io_out[1],3717.14
io_out[2],3467.24
io_out[3],3224.2
io_out[4],2951.06
io_in[24],2948.12
wb_rst_i,2871.96
wb_clk_i,2831.08
io_in[25],2784.04
io_out[5],2701.16
io_in[23],2680.44
io_in[26],2625.56
io_in[16],2603.16
io_in[0],2600.36
io_in[1],2488.92
io_in[15],2478.84
io_out[6],2476.04
io_in[27],2461.48
io_in[14],2457
io_in[2],2358.44
io_in[13],2332.12
io_in[28],2322.04
io_in[10],2291.24
io_in[31],2283.4
io_in[22],2279.62
io_in[3],2225.72
io_in[12],2208.36
io_in[17],2199.96
io_out[7],2199.4
io_in[11],2173.08
io_in[29],2156.84
io_in[18],2129.4
io_in[4],2114.28
io_in[30],2026.36
io_in[9],2016.28
io_in[19],1982.26
io_in[5],1981.56
io_out[8],1972.04
io_in[8],1926.12
io_in[21],1923.32
io_in[6],1870.12
io_in[7],1739.64
io_in[20],1730.68
io_out[9],1712.2
io_out[14],1578.92
io_out[15],1456.84
io_out[13],1436.68
io_out[10],1416.66
io_out[12],1294.44
io_out[11],1162.84
